PHE Centre,LA code,LA name,Count of outlets,"Rate per 100,000 population",Raw data or merged from 2018 LAs?,"England Rate per 100,000",Comparative Rate
South West,E07000082,Stroud,84,71.5,Raw,96.1,0.7
East of England,E07000071,Colchester,134,71.4,Raw,96.1,0.7
South West,E07000189,South Somerset,118,70.9,Raw,96.1,0.7
South West,E06000030,Swindon,155,70.9,Raw,96.1,0.7
North West,E07000127,West Lancashire,80,70.8,Raw,96.1,0.7
South East,E07000212,Runnymede,61,70.6,Raw,96.1,0.7
East of England,E07000009,East Cambridgeshire,62,70.3,Raw,96.1,0.7
London,E09000020,Kensington and Chelsea,110,70.2,Raw,96.1,0.7
West Midlands,E08000029,Solihull,149,70.2,Raw,96.1,0.7
East Midlands,E07000035,Derbyshire Dales,50,70.0,Raw,96.1,0.7
London,E09000015,Harrow,174,70.0,Raw,96.1,0.7
South East,E07000225,Chichester,83,69.7,Raw,96.1,0.7
South East,E07000086,Eastleigh,90,69.5,Raw,96.1,0.7
East Midlands,E06000017,Rutland,27,69.3,Raw,96.1,0.7
South East,E07000105,Ashford,87,69.1,Raw,96.1,0.7
South West,E06000054,Wiltshire,340,69.1,Raw,96.1,0.7
East Midlands,E07000129,Blaby,67,68.7,Raw,96.1,0.7
East Midlands,E07000038,North East Derbyshire,69,68.7,Raw,96.1,0.7
East Midlands,E07000139,North Kesteven,78,68.6,Raw,96.1,0.7
South West,E07000246,Somerset West and Taunton,103,68.5,Merged,96.1,0.7
East of England,E07000242,East Hertfordshire,100,68.4,Raw,96.1,0.7
London,E09000003,Barnet,262,68.1,Raw,96.1,0.7
West Midlands,E07000221,Stratford-on-Avon,84,68.1,Raw,96.1,0.7
South East,E07000007,Wycombe,119,67.9,Raw,96.1,0.7
Yorkshire and Humber,E07000164,Hambleton,61,67.3,Raw,96.1,0.7
East of England,E07000070,Chelmsford,117,67.2,Raw,96.1,0.7
South West,E06000024,North Somerset,142,67.1,Raw,96.1,0.7
East of England,E06000056,Central Bedfordshire,185,66.9,Raw,96.1,0.7
London,E09000026,Redbridge,201,66.7,Raw,96.1,0.7
South East,E07000089,Hart,63,66.4,Raw,96.1,0.7
South East,E07000181,West Oxfordshire,72,66.2,Raw,96.1,0.7
South East,E07000179,South Oxfordshire,92,66.1,Raw,96.1,0.7
East of England,E07000077,Uttlesford,57,66.1,Raw,96.1,0.7
South East,E07000228,Mid Sussex,97,65.7,Raw,96.1,0.7
South West,E07000080,Forest of Dean,56,65.6,Raw,96.1,0.7
East Midlands,E07000131,Harborough,59,65.4,Raw,96.1,0.7
South West,E07000040,East Devon,91,64.9,Raw,96.1,0.7
West Midlands,E07000194,Lichfield,66,64.2,Raw,96.1,0.7
London,E09000027,Richmond upon Thames,125,64.0,Raw,96.1,0.7
South East,E07000207,Elmbridge,87,63.9,Raw,96.1,0.7
West Midlands,E06000051,Shropshire,200,63.6,Raw,96.1,0.7
East of England,E07000143,Breckland,87,63.4,Raw,96.1,0.7
East Midlands,E07000176,Rushcliffe,73,63.4,Raw,96.1,0.7
East of England,E07000240,St Albans,93,63.3,Raw,96.1,0.7
East of England,E07000149,South Norfolk,83,62.4,Raw,96.1,0.6
South East,E07000115,Tonbridge and Malling,79,62.1,Raw,96.1,0.6
South West,E06000025,South Gloucestershire,171,61.8,Raw,96.1,0.6
South West,E07000079,Cotswold,53,61.5,Raw,96.1,0.6
North West,E08000011,Knowsley,91,61.5,Raw,96.1,0.6
West Midlands,E07000235,Malvern Hills,47,61.4,Raw,96.1,0.6
South East,E07000215,Tandridge,53,61.3,Raw,96.1,0.6
West Midlands,E07000238,Wychavon,75,60.9,Raw,96.1,0.6
South East,E07000213,Spelthorne,60,60.7,Raw,96.1,0.6
East of England,E07000241,Welwyn Hatfield,73,60.3,Raw,96.1,0.6
South East,E07000063,Lewes,61,60.0,Raw,96.1,0.6
South East,E07000085,East Hampshire,70,59.0,Raw,96.1,0.6
South East,E07000004,Aylesbury Vale,113,58.6,Raw,96.1,0.6
South West,E07000187,Mendip,66,58.3,Raw,96.1,0.6
West Midlands,E06000019,Herefordshire,109,57.5,Raw,96.1,0.6
South East,E07000064,Rother,54,57.5,Raw,96.1,0.6
East of England,E07000102,Three Rivers,53,57.2,Raw,96.1,0.6
South East,E07000065,Wealden,90,56.9,Raw,96.1,0.6
East Midlands,E07000155,South Northamptonshire,51,56.8,Raw,96.1,0.6
South East,E07000084,Basingstoke and Deane,99,56.5,Raw,96.1,0.6
East of England,E07000203,Mid Suffolk,56,55.6,Raw,96.1,0.6
East Midlands,E07000151,Daventry,45,55.5,Raw,96.1,0.6
South East,E07000211,Reigate and Banstead,80,55.1,Raw,96.1,0.6
South East,E07000210,Mole Valley,48,55.0,Raw,96.1,0.6
South East,E07000094,Winchester,67,54.4,Raw,96.1,0.6
East of England,E07000200,Babergh,49,54.3,Raw,96.1,0.6
South East,E07000209,Guildford,78,53.1,Raw,96.1,0.6
East of England,E07000072,Epping Forest,68,52.3,Raw,96.1,0.5
South East,E07000216,Waverley,65,52.2,Raw,96.1,0.5
South East,E06000036,Bracknell Forest,62,51.8,Raw,96.1,0.5
West Midlands,E07000196,South Staffordshire,57,51.3,Raw,96.1,0.5
South West,E07000044,South Hams,43,50.7,Raw,96.1,0.5
South East,E07000227,Horsham,70,50.5,Raw,96.1,0.5
South East,E07000005,Chiltern,47,49.4,Raw,96.1,0.5
South East,E07000093,Test Valley,60,48.9,Raw,96.1,0.5
East of England,E07000144,Broadland,61,47.9,Raw,96.1,0.5
South East,E07000087,Fareham,55,47.5,Raw,96.1,0.5
South East,E07000180,Vale of White Horse,61,47.4,Raw,96.1,0.5
East of England,E07000012,South Cambridgeshire,69,44.2,Raw,96.1,0.5
South West,E07000083,Tewkesbury,38,42.9,Raw,96.1,0.4
South West,E07000042,Mid Devon,34,42.6,Raw,96.1,0.4
South East,E07000111,Sevenoaks,50,42.0,Raw,96.1,0.4
East Midlands,E07000150,Corby,28,41.0,Raw,96.1,0.4
South East,E06000041,Wokingham,59,36.2,Raw,96.1,0.4
East of England,E07000075,Rochford,22,25.7,Raw,96.1,0.3
